Date,Close,High,Low,Open,Volume,Ticker
1985-02-13,0.400431364774704,0.450485285371542,0.400431364774704,0.0,19680,GOLD
1985-02-14,0.400431364774704,0.450485285371542,0.400431364774704,0.0,65920,GOLD
1985-02-15,0.400431364774704,0.450485285371542,0.400431364774704,0.0,31360,GOLD
1985-02-19,0.400431364774704,0.400431364774704,0.400431364774704,0.0,9120,GOLD
1985-02-20,0.400431364774704,0.400431364774704,0.400431364774704,0.0,40000,GOLD
1985-02-21,0.400431364774704,0.400431364774704,0.400431364774704,0.0,28960,GOLD
1985-02-22,0.3503776490688324,0.40043159893580843,0.3503776490688324,0.0,65600,GOLD
1985-02-25,0.3503776490688324,0.40043159893580843,0.3503776490688324,0.0,53600,GOLD
1985-02-26,0.3503776490688324,0.40043159893580843,0.3503776490688324,0.0,28800,GOLD
1985-02-27,0.3503776490688324,0.40043159893580843,0.3503776490688324,0.0,15200,GOLD
1985-02-28,0.3503776490688324,0.40043159893580843,0.3503776490688324,0.0,34560,GOLD
1985-03-01,0.3503776490688324,0.40043159893580843,0.3503776490688324,0.0,64000,GOLD
1985-03-04,0.400431364774704,0.400431364774704,0.400431364774704,0.0,8000,GOLD
1985-03-05,0.3503776490688324,0.40043159893580843,0.3503776490688324,0.0,19200,GOLD
1985-03-06,0.3503776490688324,0.40043159893580843,0.3503776490688324,0.0,71200,GOLD
1985-03-07,0.3503776490688324,0.40043159893580843,0.3503776490688324,0.0,50560,GOLD
1985-03-08,0.3503776490688324,0.3503776490688324,0.3503776490688324,0.0,252320,GOLD
1985-03-11,0.3503776490688324,0.3503776490688324,0.3503776490688324,0.0,55200,GOLD
1985-03-12,0.3503776490688324,0.3503776490688324,0.3503776490688324,0.0,87040,GOLD
1985-03-13,0.3503776490688324,0.40043159893580843,0.3503776490688324,0.0,16480,GOLD
1985-03-14,0.3503776490688324,0.40043159893580843,0.3503776490688324,0.0,8320,GOLD
1985-03-15,0.3503776490688324,0.40043159893580843,0.3503776490688324,0.0,8800,GOLD
1985-03-18,0.400431364774704,0.400431364774704,0.400431364774704,0.0,58880,GOLD
1985-03-19,0.4504854083061218,0.4504854083061218,0.4504854083061218,0.0,150240,GOLD
1985-03-20,0.400431364774704,0.450485285371542,0.400431364774704,0.0,58880,GOLD
1985-03-21,0.400431364774704,0.450485285371542,0.400431364774704,0.0,46880,GOLD
1985-03-22,0.4504854083061218,0.4504854083061218,0.4504854083061218,0.0,25600,GOLD
1985-03-25,0.400431364774704,0.450485285371542,0.400431364774704,0.0,47840,GOLD
1985-03-26,0.400431364774704,0.450485285371542,0.400431364774704,0.0,25600,GOLD
1985-03-27,0.400431364774704,0.450485285371542,0.400431364774704,0.0,7840,GOLD
1985-03-28,0.400431364774704,0.450485285371542,0.400431364774704,0.0,46080,GOLD
1985-03-29,0.400431364774704,0.450485285371542,0.400431364774704,0.0,19360,GOLD
