Date,Real,Predicho
2024-08-23,226.3418440832701,204.40210953818524
2024-08-26,226.6810954626312,204.57495076951324
2024-08-27,227.52922391103385,204.63386324787191
2024-08-28,225.99261748346981,204.65785071913987
2024-08-29,229.28537907268836,204.6120116473333
2024-08-30,228.49710194692096,204.57302613874614
2024-09-03,222.28077928026957,204.5523246224464
2024-09-04,220.3649971204807,204.3524446759514
2024-09-05,221.8916283276055,204.17819517820845
2024-09-06,220.33507145916303,203.92742987191997
2024-09-09,220.4248719142229,203.6552823872312
2024-09-10,219.62664303912325,203.56592788320273
2024-09-11,222.17102838433127,203.44927648183116
2024-09-12,222.28077928026957,203.48772215495924
2024-09-13,222.01137791508995,203.77904553399824
2024-09-16,215.84495482174157,203.73865175899616
2024-09-17,216.3139075379194,203.57210078432158
2024-09-18,220.20534665123938,203.31814340749256
2024-09-19,228.3673771389973,203.36492132357574
2024-09-20,227.6988496007144,203.77538404131937
2024-09-23,225.97266704259138,204.04140556710314
2024-09-24,226.87067159319017,204.274778783167
2024-09-25,225.8728678959854,204.43311487042104
2024-09-26,227.02034684199225,204.54570577029617
2024-09-27,227.28974820717187,204.63268969252613
2024-09-30,232.48831673574006,204.66496246453536
2024-10-01,225.71324089785097,204.69688316994086
2024-10-02,226.2819927606348,204.6889264646964
2024-10-03,225.17441469638482,204.68740084274688
2024-10-04,226.30194320151324,204.68233108365305
2024-10-07,221.20315034844415,204.68348116789193
2024-10-08,225.2741903718839,204.67038429023293
2024-10-09,229.03592814838714,204.65759253696382
2024-10-10,228.53702629978477,204.6399187934562
2024-10-11,227.05029597441683,204.62689232911794
2024-10-14,230.79205983893473,204.6220807522002
2024-10-15,233.33644518414275,204.64099846437432
2024-10-16,231.27098777555176,204.6272678668286
2024-10-17,231.6401882873374,204.6102513143146
2024-10-18,234.4839241301496,204.61043908316995
2024-10-21,235.96067923507835,204.61194123401256
2024-10-22,235.34205127009844,204.68273009247062
2024-10-23,230.25323363746855,204.69535754799134
2024-10-24,230.0636809780165,204.69653110333712
2024-10-25,230.90181073487304,204.6972117654377
2024-10-28,232.88744290884335,204.6926114284822
2024-10-29,233.156844274023,204.69315126394125
2024-10-30,229.59468131962484,204.69540449020516
2024-10-31,225.41389040024677,204.69709440990312
2024-11-01,222.42047930863245,204.69737606318608
2024-11-04,221.52245128692678,204.6807350483828
2024-11-05,222.95928203899172,204.6382758159721
2024-11-06,222.2309031780735,204.61130751412583
2024-11-07,226.9804459602354,204.54246675754177
2024-11-08,226.71073947066586,204.56941158828113
2024-11-11,223.98372544254593,204.54587006804456
2024-11-12,223.98372544254593,204.52549714724165
2024-11-13,224.87276403030285,204.45665639065757
2024-11-14,227.96935410791906,204.4228579966988
2024-11-15,224.7528736161769,204.43872446497392
2024-11-18,227.7695680458517,204.39211084663913
2024-11-19,228.02927584387513,204.35979113241606
2024-11-20,228.74850097309618,204.40178094268842
2024-11-21,228.26903320102008,204.4816061773091
2024-11-22,229.61754217776084,204.5472548633526
2024-11-25,232.61423922434338,204.60525196854155
2024-11-26,234.80184027332422,204.65916510112717
2024-11-27,234.67197463875905,204.69671887219246
2024-11-29,237.06936044135338,204.69700052547543
2024-12-02,239.3268584467295,204.67592347146504
2024-12-03,242.383500700375,204.59668501451728
2024-12-04,242.74310152943207,204.42360907212012
2024-12-05,242.77307413296356,204.23398599934734
2024-12-06,242.5732880708962,204.1503584454063
2024-12-09,246.47899761722104,203.958646444118
2024-12-10,247.4978783684362,203.71043948848333
2024-12-11,246.21928981919763,203.47143320675968
2024-12-12,247.68768921006432,203.4397002702095
2024-12-13,247.85747919749326,203.3734413353862
2024-12-16,250.76428190458827,203.35346742340084
2024-12-17,253.20159206004638,203.2558276186311
2024-12-18,247.77758354955185,203.07317546461226
2024-12-19,249.5156659588812,203.25782266271892
2024-12-20,254.21052106192923,203.2361353599287
2024-12-23,254.98964445599944,202.70993661398325
2024-12-24,257.9164445461867,202.12543563845892
2024-12-26,258.7355157642276,201.37529906142973
2024-12-27,255.3092974610858,200.52867276386968
2024-12-30,251.92302698191472,200.2271159822154
2024-12-31,250.14497327750777,200.2214829165556
2025-01-02,243.58219360167217,200.71601913927165
2025-01-03,243.09272713804992,201.5349964728849
2025-01-06,244.7309165163456,202.12724291369145
2025-01-07,241.94400422337654,202.42574845144665
