step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward,real_shares_bought,real_shares_sold
31,2024-10-02,2,989.3906213989255,0.0,226.281982421875,0.0,989.3906213989255,[5.034168],0.0,3.0
32,2024-10-03,1,304.9278706665036,3.0,225.1744079589844,227.6988525390625,980.4510945434569,[-1.1223022],3.0,0.0
33,2024-10-04,2,981.4900034790036,0.0,226.30194091796875,0.0,981.4900034790036,[-1.1872914],0.0,3.0
34,2024-10-07,1,299.5167341003415,3.0,221.20315551757807,226.8706817626953,963.1262006530757,[-1.12204],3.0,0.0
35,2024-10-08,2,975.7801339111326,0.0,225.27420043945312,0.0,975.7801339111326,[-1.1807042],0.0,3.0
36,2024-10-09,1,293.35694610595704,3.0,229.03591918945312,227.0203552246093,980.4647036743164,[-1.1220874],3.0,0.0
37,2024-10-10,2,973.8624550476075,0.0,228.5370178222656,0.0,973.8624550476075,[0.78475904],0.0,3.0
38,2024-10-11,1,275.00254400634765,3.0,227.05029296875,232.4883270263672,956.1534229125976,[-1.1238184],3.0,0.0
39,2024-10-14,2,950.7879892883301,0.0,230.79205322265625,0.0,950.7879892883301,[-1.2326493],0.0,3.0
40,2024-10-15,1,270.5843501281738,3.0,233.33645629882807,226.281982421875,970.593719024658,[-1.1218536],3.0,0.0
41,2024-10-16,1,44.95959335327143,4.0,231.27099609375,226.00508880615234,970.0435777282714,[-0.95383286],1.0,0.0
42,2024-10-17,1,44.95959335327143,4.0,231.6401824951172,226.00508880615234,971.5203233337402,[0.67273146],0.0,0.0
43,2024-10-18,0,44.95959335327143,4.0,234.48391723632807,226.00508880615234,982.8952622985837,[-1.2811854],0.0,0.0
44,2024-10-21,2,944.2542015075683,0.0,235.960678100586,0.0,944.2542015075683,[1.3054695],0.0,4.0
45,2024-10-22,1,255.77222842407218,3.0,235.342041015625,229.03591918945312,961.7983514709472,[-1.1227255],3.0,0.0
46,2024-10-23,2,940.0120597839353,0.0,230.25323486328125,0.0,940.0120597839353,[-1.1770576],0.0,3.0
47,2024-10-24,1,257.49887911987287,3.0,230.0636749267578,227.05029296875,947.6899039001463,[-1.0220969],3.0,0.0
48,2024-10-25,2,948.4902864685057,0.0,230.9018096923828,0.0,948.4902864685057,[4.405885],0.0,3.0
49,2024-10-28,1,247.0808988342286,3.0,232.887435913086,233.33645629882804,945.7432065734866,[-1.1240869],3.0,0.0
50,2024-10-29,2,939.5062611389161,0.0,233.15684509277344,0.0,939.5062611389161,[-1.1920222],0.0,3.0
51,2024-10-30,1,243.1958725585938,3.0,229.5946807861328,231.6401824951172,931.9799149169922,[-1.1235499],3.0,0.0
52,2024-10-31,2,945.24072076416,0.0,225.4138946533203,0.0,945.24072076416,[4.044509],0.0,3.0
53,2024-11-01,1,235.94292239379843,3.0,222.42047119140625,235.96067810058602,903.2043359680172,[-1.1399175],3.0,0.0
54,2024-11-04,2,940.5569931945797,0.0,221.5224456787109,0.0,940.5569931945797,[-1.1802894],0.0,3.0
55,2024-11-05,1,248.41576919555632,3.0,222.95928955078125,230.25323486328125,917.2936378479001,[-1.0231109],3.0,0.0
56,2024-11-06,2,937.2264119262692,0.0,222.2308959960937,0.0,937.2264119262692,[-1.0747569],0.0,3.0
57,2024-11-07,1,243.13557199096647,3.0,226.98043823242188,230.9018096923828,924.0768866882321,[-1.0233161],3.0,0.0
58,2024-11-08,1,9.782361206054304,4.0,226.7107391357422,231.3982162475586,916.625317749023,[0.97656864],1.0,0.0
59,2024-11-11,2,940.5444868164059,0.0,223.9837341308593,0.0,940.5444868164059,[1.7480844],0.0,4.0
60,2024-11-12,1,250.38287637329063,3.0,223.9837341308593,229.5946807861328,922.3340787658685,[-1.0229024],3.0,0.0
61,2024-11-13,2,925.2720769653316,0.0,224.8727569580078,0.0,925.2720769653316,[-1.2092057],0.0,3.0
62,2024-11-14,1,256.6761405639644,3.0,227.9693603515625,222.42047119140625,940.5842216186519,[-1.1206309],3.0,0.0
63,2024-11-15,1,34.710649993896055,4.0,224.7528839111328,222.19596481323242,933.7221856384273,[-1.05156],1.0,0.0
64,2024-11-18,1,34.710649993896055,4.0,227.7695770263672,222.19596481323242,945.7889580993648,[0.8188301],0.0,0.0
65,2024-11-19,2,921.8563868103021,0.0,228.0292816162109,0.0,921.8563868103021,[0.8240453],0.0,4.0
66,2024-11-20,1,239.55318948364186,3.0,228.7484893798828,226.98043823242188,925.7986576232903,[-1.1220747],3.0,0.0
67,2024-11-21,1,12.389028869628191,4.0,228.2690277099609,226.91301345825195,925.4651397094718,[-1.0964547],1.0,0.0
68,2024-11-22,1,12.389028869628191,4.0,229.61753845214844,226.91301345825195,930.8591826782219,[-1.252724],0.0,0.0
69,2024-11-25,1,12.389028869628191,4.0,232.6142425537109,226.91301345825195,942.8459990844718,[-1.22],0.0,0.0
70,2024-11-26,2,910.0810746459954,0.0,234.8018341064453,0.0,910.0810746459954,[0.38421735],0.0,4.0
71,2024-11-27,1,224.80517742919847,3.0,234.67198181152344,227.9693603515625,928.8211228637688,[-1.0223879],3.0,0.0
72,2024-11-29,1,-0.3972122497566204,4.0,237.06935119628903,227.16524124145508,947.8801925353995,[-1.1727684],1.0,0.0
73,2024-12-02,2,908.8589392395012,0.0,239.3268585205078,0.0,908.8589392395012,[3.4338915],0.0,4.0
74,2024-12-03,1,223.4029187011712,3.0,242.3834991455078,228.0292816162109,950.5534161376946,[-1.0224068],3.0,0.0
75,2024-12-04,2,908.2758959045403,0.0,242.7431030273437,0.0,908.2758959045403,[2.6160412],0.0,3.0
76,2024-12-05,1,222.09919860839784,3.0,242.7730712890625,228.2690277099609,950.4184124755853,[-1.0224828],3.0,0.0
77,2024-12-06,2,909.5741087341303,0.0,242.5732879638672,0.0,909.5741087341303,[3.121781],0.0,3.0
78,2024-12-09,1,210.33569561767536,3.0,246.47900390625,232.6142425537109,949.7727073364254,[-1.1238582],3.0,0.0
79,2024-12-10,2,913.3323869323726,0.0,247.4978790283203,0.0,913.3323869323726,[3.6906588],0.0,3.0
80,2024-12-11,1,207.90840960693322,3.0,246.2192840576172,234.67198181152344,946.5662617797848,[-1.1245096],3.0,0.0
81,2024-12-12,0,207.90840960693322,3.0,247.68768310546875,234.67198181152344,950.9714589233395,[1.0164202],0.0,0.0
82,2024-12-13,0,207.90840960693322,3.0,247.85748291015625,234.67198181152344,951.480858337402,[0.9897301],0.0,0.0
83,2024-12-16,0,207.90840960693322,3.0,250.7642822265625,234.67198181152344,960.2012562866207,[1.1244714],0.0,0.0
84,2024-12-17,1,207.90840960693322,3.0,253.2015991210937,234.67198181152344,967.5132069702142,[0.30746457],0.0,0.0
85,2024-12-18,0,207.90840960693322,3.0,247.777572631836,234.67198181152344,951.2411275024413,[0.40899023],0.0,0.0
86,2024-12-19,1,207.90840960693322,3.0,249.51565551757807,234.67198181152344,956.4553761596674,[-1.2017981],0.0,0.0
87,2024-12-20,1,207.90840960693322,3.0,254.21051025390625,234.67198181152344,970.539940368652,[1.1248211],0.0,0.0
88,2024-12-23,1,207.90840960693322,3.0,254.9896545410156,234.67198181152344,972.87737322998,[0.496486],0.0,0.0
89,2024-12-24,1,207.90840960693322,3.0,257.9164428710937,234.67198181152344,981.6577382202142,[-1.2115073],0.0,0.0
90,2024-12-26,1,207.90840960693322,3.0,258.7355041503906,234.67198181152344,984.1149220581051,[0.71407515],0.0,0.0
91,2024-12-27,1,207.90840960693322,3.0,255.30929565429688,234.67198181152344,973.8362965698238,[0.25089592],0.0,0.0
92,2024-12-30,1,207.90840960693322,3.0,251.9230194091797,234.67198181152344,963.6774678344723,[1.002409],0.0,0.0
93,2024-12-31,1,207.90840960693322,3.0,250.1449737548828,234.67198181152344,958.3433308715817,[0.92379594],0.0,0.0
94,2025-01-02,1,207.90840960693322,3.0,243.5821990966797,234.67198181152344,938.6550068969723,[-1.2488163],0.0,0.0
95,2025-01-03,1,207.90840960693322,3.0,243.0927276611328,234.67198181152344,937.1865925903317,[0.778799],0.0,0.0
96,2025-01-06,1,207.90840960693322,3.0,244.73092651367188,234.67198181152344,942.1011891479488,[1.1871659],0.0,0.0
97,2025-01-07,1,207.90840960693322,3.0,241.94400024414065,234.67198181152344,933.7404103393552,[0.42957738],0.0,0.0
98,2025-01-08,2,980.1102395629877,0.0,242.4334411621093,0.0,980.1102395629877,[4.7415366],0.0,3.0
99,2025-01-10,1,202.35131408691348,3.0,236.58987426757807,258.7355041503906,912.1209368896476,[-1.1321224],3.0,0.0
100,2025-01-13,0,202.35131408691348,3.0,234.1425628662109,258.7355041503906,904.7790026855462,[-1.2458359],0.0,0.0
101,2025-01-14,1,202.35131408691348,3.0,233.02378845214844,258.7355041503906,901.4226794433588,[-1.2454765],0.0,0.0
102,2025-01-15,1,202.35131408691348,3.0,237.60874938964844,258.7355041503906,915.1775622558588,[-1.2310024],0.0,0.0
103,2025-01-16,0,202.35131408691348,3.0,228.00930786132807,258.7355041503906,886.3792376708976,[-1.274065],0.0,0.0
104,2025-01-17,1,202.35131408691348,3.0,229.7274169921875,258.7355041503906,891.533565063476,[-1.2194053],0.0,0.0
105,2025-01-21,1,202.35131408691348,3.0,222.39547729492188,258.7355041503906,869.5377459716791,[0.74037415],0.0,0.0
106,2025-01-22,2,926.7316508178707,0.0,223.58416748046875,0.0,926.7316508178707,[-1.2018933],0.0,3.0
107,2025-01-23,1,197.97672668457017,3.0,223.41436767578125,242.4334411621093,868.2198297119139,[-1.1269659],3.0,0.0
108,2025-01-24,2,906.3268102416988,0.0,222.5353240966797,0.0,906.3268102416988,[-1.2277087],0.0,3.0
109,2025-01-27,2,906.3268102416988,0.0,229.6075439453125,0.0,906.3268102416988,[-1.3],0.0,0.0
110,2025-01-28,1,205.85730215454066,3.0,237.99832153320312,233.02378845214844,919.85226675415,[-1.1239879],3.0,0.0
111,2025-01-29,2,917.2578978271481,0.0,239.0971221923828,0.0,917.2578978271481,[4.8345203],0.0,3.0
112,2025-01-30,1,231.86191839599599,3.0,237.3290557861328,228.00930786132804,943.8490857543944,[-1.1224005],3.0,0.0
113,2025-01-31,2,919.6658048706054,0.0,235.7408142089844,0.0,919.6658048706054,[3.59033],0.0,3.0
114,2025-02-03,1,251.1450001220702,3.0,227.75958251953125,222.39547729492188,934.423747680664,[-1.120623],3.0,0.0
115,2025-02-04,2,920.5559975585936,0.0,232.54432678222656,0.0,920.5559975585936,[3.203648],0.0,3.0
116,2025-02-05,1,248.97240832519515,3.0,232.2146911621093,223.41436767578125,945.616481811523,[-1.1209456],3.0,0.0
117,2025-02-06,2,915.2431686706541,0.0,232.9638671875,0.0,915.2431686706541,[-1.1785786],0.0,3.0
118,2025-02-07,1,225.04289157104472,3.0,227.3800048828125,229.6075439453125,907.1829062194822,[-1.1229064],3.0,0.0
119,2025-02-10,2,937.6098662414548,0.0,227.6499938964844,0.0,937.6098662414548,[5.1404777],0.0,3.0
120,2025-02-11,1,218.88391693115204,3.0,232.6199951171875,239.0971221923828,916.7439022827145,[-1.1259102],3.0,0.0
121,2025-02-12,2,929.4471099548336,0.0,236.8699951171875,0.0,929.4471099548336,[-1.0912632],0.0,3.0
122,2025-02-13,0,929.4471099548336,0.0,241.52999877929688,0.0,929.4471099548336,[-1.],0.0,0.0
123,2025-02-14,1,244.80180490112275,3.0,244.6000061035156,227.75958251953125,978.6018232116695,[-1.1223214],3.0,0.0
124,2025-02-18,2,941.0395192871091,0.0,244.47000122070312,0.0,941.0395192871091,[4.980136],0.0,3.0
125,2025-02-19,1,243.00215765380858,3.0,244.8699951171875,232.2146911621093,977.6121430053711,[-1.0237318],3.0,0.0
126,2025-02-20,2,940.4959760131836,0.0,245.8300018310547,0.0,940.4959760131836,[2.6374946],0.0,3.0
127,2025-02-21,1,256.99168133544924,3.0,245.5500030517578,227.3800048828125,993.6416904907227,[-1.1222012],3.0,0.0
128,2025-02-24,2,938.5757630615236,0.0,247.1000061035156,0.0,938.5757630615236,[0.98498994],0.0,3.0
129,2025-02-25,1,239.320057739258,3.0,247.0399932861328,232.6199951171875,980.4400375976564,[-1.0238601],3.0,0.0
130,2025-02-26,0,239.320057739258,3.0,240.3600006103516,232.6199951171875,960.4000595703128,[1.255147],0.0,0.0
131,2025-02-27,2,962.4608740844728,0.0,237.3000030517578,0.0,962.4608740844728,[4.9192214],0.0,3.0
