Step,Net_Worth,Action
74,11057.273303607455,Sell
75,11057.273303607455,Sell
76,11057.273303607455,Sell
77,11057.273303607455,Sell
78,11057.273303607455,Sell
79,11057.273303607455,Sell
80,11057.273303607455,Sell
81,11057.273303607455,Sell
82,11057.273303607455,Sell
83,11057.273303607455,Sell
84,11057.273303607455,Sell
85,11057.273303607455,Sell
86,11057.273303607455,Sell
87,11057.273303607455,Sell
88,11057.273303607455,Sell
89,11057.273303607455,Sell
90,11057.273303607455,Sell
91,11057.273303607455,Sell
92,11057.273303607455,Sell
93,11057.273303607455,Sell
94,11057.273303607455,Sell
95,11057.273303607455,Sell
96,11057.273303607455,Sell
97,11057.273303607455,Sell
98,11057.273303607455,Sell
99,11057.273303607455,Sell
100,11057.273303607455,Sell
101,11057.273303607455,Sell
102,11057.273303607455,Sell
103,11057.273303607455,Sell
104,11057.273303607455,Sell
105,11057.273303607455,Sell
106,11057.273303607455,Sell
107,11057.273303607455,Sell
108,11057.273303607455,Sell
109,11057.273303607455,Sell
110,11057.273303607455,Sell
111,11057.273303607455,Sell
112,11057.273303607455,Sell
113,11057.273303607455,Sell
114,11057.273303607455,Sell
115,11057.273303607455,Sell
116,11057.273303607455,Sell
117,11057.273303607455,Sell
118,11057.273303607455,Sell
119,11057.273303607455,Sell
120,11057.273303607455,Sell
121,11057.273303607455,Sell
122,11057.273303607455,Sell
123,11057.273303607455,Sell
124,11057.273303607455,Sell
125,11057.273303607455,Sell
126,11057.273303607455,Sell
127,11057.273303607455,Sell
128,11057.273303607455,Sell
129,11057.273303607455,Sell
130,11057.273303607455,Sell
131,11057.273303607455,Sell
132,11057.273303607455,Sell
133,11057.273303607455,Sell
134,11057.273303607455,Sell
135,11057.273303607455,Sell
136,11057.273303607455,Sell
137,11057.273303607455,Sell
138,11057.273303607455,Sell
139,11057.273303607455,Sell
140,11057.273303607455,Sell
141,11057.273303607455,Sell
142,11057.273303607455,Sell
143,11057.273303607455,Sell
144,11057.273303607455,Sell
145,11057.273303607455,Sell
146,11057.273303607455,Sell
147,11057.273303607455,Sell
148,11057.273303607455,Sell
149,11057.273303607455,Sell
150,11057.273303607455,Sell
151,11057.273303607455,Sell
152,11057.273303607455,Sell
153,11057.273303607455,Sell
154,11057.273303607455,Sell
155,11057.273303607455,Sell
156,11057.273303607455,Sell
157,11057.273303607455,Sell
158,11057.273303607455,Sell
159,11057.273303607455,Sell
160,11057.273303607455,Sell
161,11057.273303607455,Sell
162,11057.273303607455,Sell
163,11057.273303607455,Sell
164,11057.273303607455,Sell
165,11057.273303607455,Sell
166,11057.273303607455,Sell
167,11057.273303607455,Sell
168,11057.273303607455,Sell
169,11057.273303607455,Sell
170,11057.273303607455,Sell
171,11057.273303607455,Sell
172,11057.273303607455,Sell
173,11057.273303607455,Sell
174,11057.273303607455,Sell
175,11057.273303607455,Sell
176,11057.273303607455,Sell
177,11057.273303607455,Sell
178,11057.273303607455,Sell
179,11057.273303607455,Sell
180,11057.273303607455,Sell
181,11057.273303607455,Sell
182,11057.273303607455,Sell
183,11057.273303607455,Sell
184,11057.273303607455,Sell
185,11057.273303607455,Sell
186,11057.273303607455,Sell
187,11057.273303607455,Sell
188,11057.273303607455,Sell
189,11057.273303607455,Sell
190,11057.273303607455,Sell
191,11057.273303607455,Sell
192,11057.273303607455,Sell
193,11057.273303607455,Sell
194,11057.273303607455,Sell
195,11057.273303607455,Sell
196,11057.273303607455,Sell
197,11057.273303607455,Sell
198,11057.273303607455,Sell
199,11057.273303607455,Sell
200,11057.273303607455,Sell
201,11057.273303607455,Sell
202,11057.273303607455,Sell
203,11057.273303607455,Sell
204,11057.273303607455,Sell
205,11057.273303607455,Sell
206,11057.273303607455,Sell
207,11057.273303607455,Sell
208,11057.273303607455,Sell
209,11057.273303607455,Sell
210,11057.273303607455,Sell
211,11057.273303607455,Sell
212,11057.273303607455,Sell
213,11057.273303607455,Sell
214,11057.273303607455,Sell
215,11057.273303607455,Sell
216,11057.273303607455,Sell
217,11057.273303607455,Sell
218,11057.273303607455,Sell
219,11057.273303607455,Sell
220,11057.273303607455,Sell
221,11057.273303607455,Sell
222,11057.273303607455,Sell
223,11057.273303607455,Sell
224,11057.273303607455,Sell
