Step,Net_Worth
0,10000.0
1,10000.0
2,10458.300306068719
3,10416.63821982561
4,10999.931293646609
5,10999.931293646609
6,11041.593379889717
7,11041.593379889717
8,10499.960945862282
9,10499.960945862282
10,10708.288011247587
11,10541.63098757789
12,10166.649068197197
13,10374.975410357729
14,10499.960945862282
15,10958.270653853046
16,10833.277886100776
17,10791.611460509032
18,10583.288734472362
19,10416.63821982561
20,10374.975410357729
21,10083.323449261436
22,9708.276439651232
23,9874.933463320927
24,9624.95082071547
25,9833.265591279638
26,9708.276439651232
27,9374.96817811001
28,8666.60639793562
29,8583.277886100777
30,8583.277886100777
31,8291.630987577884
32,8374.956606513646
33,8708.267037729183
34,8041.649068197196
35,7416.611460509035
36,7583.348038903706
37,7916.652684321063
38,8124.979026481596
39,8333.295966720083
40,8624.941418793422
41,8041.649068197196
42,7999.984089054998
43,7541.607121160395
44,7750.000723224766
45,7999.984089054998
46,8333.295966720083
47,8041.649068197196
48,7916.652684321063
49,8208.303922192585
50,8333.295966720083
51,8249.966731660466
52,8374.956606513646
53,8624.941418793422
54,8416.623755330163
55,8416.623755330163
56,8416.623755330163
57,8166.636773376067
58,8000.339422134308
59,7750.344952862098
60,7625.352419395814
61,7375.278391865078
62,7208.618305377849
63,7125.284645849755
64,7208.618305377849
65,6708.630813347223
66,6291.897422586145
67,6458.63345104743
68,6333.559912808816
69,6375.225296059071
70,6708.630813347223
71,6708.630813347223
72,7125.284645849755
73,7250.282965371208
74,6875.28945332065
75,6791.958686820149
76,6583.6303240550815
77,6583.6303240550815
78,6625.294260791544
79,6541.964940804826
80,6333.559912808816
81,6166.898379807805
82,6041.89861377256
83,5875.238165656893
84,5916.903910535586
85,5958.571825184978
86,5625.242973127778
87,5500.247546633918
88,5458.581440126767
89,4750.190366613913
90,4791.8557498641685
91,5041.850942393274
92,5083.51415587284
93,5083.51415587284
94,5500.247546633918
95,5666.909441263378
96,5625.242973127778
97,5958.571825184978
98,6166.898379807805
99,6208.565209571852
100,6416.969514310967
101,6416.969514310967
102,6041.89861377256
103,6166.898379807805
104,6083.566890050399
105,6208.565209571852
106,6541.964940804826
107,6541.964940804826
108,6500.299557554571
109,6333.559912808816
110,6333.559912808816
111,6458.63345104743
112,6666.961813812488
113,6583.6303240550815
114,6666.961813812488
115,6666.961813812488
116,6583.6303240550815
117,6416.969514310967
118,5958.571825184978
119,6000.23757006368
120,6083.566890050399
121,6125.23299655755
122,6291.897422586145
123,6500.299557554571
124,6041.89861377256
125,5958.571825184978
126,6083.566890050399
127,6291.897422586145
128,6291.897422586145
129,6333.559912808816
130,6041.89861377256
131,6000.23757006368
132,6125.23299655755
133,6291.897422586145
134,6208.565209571852
135,6208.565209571852
136,6250.2298695652025
137,6166.898379807805
138,6333.559912808816
139,6375.225296059071
140,6250.2298695652025
141,6291.897422586145
142,6291.897422586145
143,6250.2298695652025
144,6041.89861377256
145,6208.565209571852
146,6500.299557554571
147,7041.952432835462
148,7625.352419395814
149,7291.950518392152
150,7416.940882087749
151,7250.282965371208
152,7291.950518392152
153,6958.62021982116
154,7083.616369571925
155,7375.278391865078
156,7375.278391865078
157,7333.613731871718
158,6958.62021982116
159,6875.28945332065
160,6333.559912808816
161,6625.294260791544
162,6208.565209571852
163,6000.23757006368
164,5958.571825184978
165,6250.2298695652025
166,6666.961813812488
167,6791.958686820149
168,6625.294260791544
169,6750.295473340581
170,6875.28945332065
171,6916.954836570905
172,6708.630813347223
173,6458.63345104743
174,6500.299557554571
175,6708.630813347223
176,6791.958686820149
177,6708.630813347223
178,6750.295473340581
179,6750.295473340581
180,6583.6303240550815
181,6583.6303240550815
182,6166.898379807805
183,6166.898379807805
184,6250.2298695652025
185,6166.898379807805
186,6250.2298695652025
187,6125.23299655755
188,6208.565209571852
189,6291.897422586145
190,6250.2298695652025
191,6166.898379807805
192,6083.566890050399
193,6125.23299655755
194,6083.566890050399
195,6083.566890050399
196,6125.23299655755
197,6125.23299655755
198,6125.23299655755
199,6000.23757006368
200,5541.912568255725
201,5458.581440126767
202,5500.247546633918
203,5416.9182266472
204,5416.9182266472
205,5083.51415587284
206,5041.850942393274
207,4958.519091007429
208,4708.523175221428
209,5083.51415587284
210,5541.912568255725
211,5958.571825184978
212,5875.238165656893
213,5541.912568255725
214,5500.247546633918
