step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward,real_shares_bought,real_shares_sold
32,2024-10-03,2,1057.4211097412112,0.0,225.1744079589844,0.0,1057.4211097412112,[2.5193717],0.0,3.0
33,2024-10-04,1,378.1473050537112,3.0,226.30194091796875,225.97265625,1057.0531278076173,[-1.1217556],3.0,0.0
34,2024-10-07,0,378.1473050537112,3.0,221.20315551757807,225.97265625,1041.7567716064455,[0.6630736],0.0,0.0
35,2024-10-08,0,378.1473050537112,3.0,225.27420043945312,225.97265625,1053.9699063720705,[-1.2239802],0.0,0.0
36,2024-10-09,0,378.1473050537112,3.0,229.03591918945312,225.97265625,1065.2550626220705,[0.73125994],0.0,0.0
37,2024-10-10,0,378.1473050537112,3.0,228.5370178222656,225.97265625,1063.758358520508,[0.48064268],0.0,0.0
38,2024-10-11,2,1074.2173561706545,0.0,227.05029296875,0.0,1074.2173561706545,[4.8675313],0.0,3.0
39,2024-10-14,1,395.72335198974633,3.0,230.79205322265625,225.71324157714844,1088.099511657715,[-1.1216735],3.0,0.0
40,2024-10-15,2,1073.21160736084,0.0,233.33645629882807,0.0,1073.21160736084,[2.3904204],0.0,3.0
41,2024-10-16,1,396.3373370361328,3.0,231.27099609375,225.1744079589844,1090.1503253173828,[-1.0215029],3.0,0.0
42,2024-10-17,1,169.58279223632812,4.0,231.6401824951172,225.4562911987305,1096.1435222167968,[0.7622669],1.0,0.0
43,2024-10-18,1,169.58279223632812,4.0,234.48391723632807,225.4562911987305,1107.5184611816403,[-1.2811854],0.0,0.0
44,2024-10-21,0,169.58279223632812,4.0,235.960678100586,225.4562911987305,1113.425504638672,[1.305836],0.0,0.0
45,2024-10-22,0,169.58279223632812,4.0,235.342041015625,225.4562911987305,1110.950956298828,[1.3059918],0.0,0.0
46,2024-10-23,2,1081.9025673828123,0.0,230.25323486328125,0.0,1081.9025673828123,[2.185449],0.0,4.0
47,2024-10-24,1,399.38938671874985,3.0,230.0636749267578,227.05029296875,1089.5804114990233,[-1.0220969],3.0,0.0
48,2024-10-25,0,399.38938671874985,3.0,230.9018096923828,227.05029296875,1092.0948157958983,[1.2084465],0.0,0.0
49,2024-10-28,2,1097.998736877441,0.0,232.887435913086,0.0,1097.998736877441,[4.51608],0.0,3.0
50,2024-10-29,1,402.79812261962843,3.0,233.15684509277344,231.27099609375,1102.2686578979487,[-1.1234331],3.0,0.0
51,2024-10-30,0,402.79812261962843,3.0,229.5946807861328,231.27099609375,1091.5821649780269,[0.5103052],0.0,0.0
52,2024-10-31,0,402.79812261962843,3.0,225.4138946533203,231.27099609375,1079.0398065795894,[1.0926962],0.0,0.0
53,2024-11-01,2,1109.264392852783,0.0,222.42047119140625,0.0,1109.264392852783,[4.098593],0.0,3.0
54,2024-11-04,1,401.82621755981427,3.0,221.5224456787109,235.342041015625,1066.393554595947,[-1.1247216],3.0,0.0
55,2024-11-05,0,401.82621755981427,3.0,222.95928955078125,235.342041015625,1070.704086212158,[-1.2607993],0.0,0.0
56,2024-11-06,1,171.30241528320295,4.0,222.2308959960937,234.0224494934082,1060.2259992675777,[-0.94608873],1.0,0.0
57,2024-11-07,0,171.30241528320295,4.0,226.98043823242188,234.0224494934082,1079.2241682128904,[0.7032337],0.0,0.0
58,2024-11-08,1,171.30241528320295,4.0,226.7107391357422,234.0224494934082,1078.1453718261716,[0.9408102],0.0,0.0
59,2024-11-11,2,1102.0645408935545,0.0,223.9837341308593,0.0,1102.0645408935545,[-1.1953561],0.0,4.0
60,2024-11-12,1,411.90293045043927,3.0,223.9837341308593,229.5946807861328,1083.8541328430172,[-1.0229024],3.0,0.0
