step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward,real_shares_bought,real_shares_sold
68,2025-01-08,1,1000,0,2664.5,0,1000.0,[-1.35],0,0
69,2025-01-09,1,1000,0,2683.800048828125,0,1000.0,[-1.35],0,0
70,2025-01-10,1,1000,0,2708.5,0,1000.0,[-1.35],0,0
71,2025-01-13,1,1000,0,2673.5,0,1000.0,[-1.35],0,0
72,2025-01-14,1,1000,0,2677.5,0,1000.0,[-1.35],0,0
73,2025-01-15,1,1000,0,2712.5,0,1000.0,[-1.35],0,0
74,2025-01-16,2,1000,0,2746.39990234375,0,1000.0,[-1.55],0,0
75,2025-01-17,1,1000,0,2744.300048828125,0,1000.0,[-1.35],0,0
76,2025-01-21,1,1000,0,2755.0,0,1000.0,[-1.35],0,0
77,2025-01-22,1,1000,0,2767.60009765625,0,1000.0,[-1.35],0,0
78,2025-01-23,1,1000,0,2763.10009765625,0,1000.0,[-1.35],0,0
79,2025-01-24,1,1000,0,2777.300048828125,0,1000.0,[-1.35],0,0
80,2025-01-27,1,1000,0,2737.5,0,1000.0,[-1.35],0,0
81,2025-01-28,1,1000,0,2766.800048828125,0,1000.0,[-1.35],0,0
82,2025-01-29,1,1000,0,2769.10009765625,0,1000.0,[-1.35],0,0
83,2025-01-30,1,1000,0,2823.0,0,1000.0,[-1.35],0,0
84,2025-01-31,1,1000,0,2812.5,0,1000.0,[-1.35],0,0
85,2025-02-03,1,1000,0,2833.89990234375,0,1000.0,[-1.35],0,0
86,2025-02-04,1,1000,0,2853.300048828125,0,1000.0,[-1.35],0,0
87,2025-02-05,1,1000,0,2871.60009765625,0,1000.0,[-1.35],0,0
88,2025-02-06,1,1000,0,2856.0,0,1000.0,[-1.35],0,0
89,2025-02-07,1,1000,0,2867.300048828125,0,1000.0,[-1.35],0,0
90,2025-02-10,1,1000,0,2914.300048828125,0,1000.0,[-1.35],0,0
91,2025-02-11,1,1000,0,2912.5,0,1000.0,[-1.35],0,0
92,2025-02-12,1,1000,0,2909.0,0,1000.0,[-1.35],0,0
93,2025-02-13,1,1000,0,2925.89990234375,0,1000.0,[-1.35],0,0
94,2025-02-14,1,1000,0,2883.60009765625,0,1000.0,[-1.35],0,0
95,2025-02-18,1,1000,0,2931.60009765625,0,1000.0,[-1.35],0,0
96,2025-02-19,1,1000,0,2919.39990234375,0,1000.0,[-1.35],0,0
97,2025-02-20,1,1000,0,2940.0,0,1000.0,[-1.35],0,0
98,2025-02-21,1,1000,0,2937.60009765625,0,1000.0,[-1.35],0,0
99,2025-02-24,1,1000,0,2947.89990234375,0,1000.0,[-1.35],0,0
100,2025-02-25,1,1000,0,2904.5,0,1000.0,[-1.35],0,0
101,2025-02-26,1,1000,0,2916.800048828125,0,1000.0,[-1.35],0,0
102,2025-02-27,1,1000,0,2883.199951171875,0,1000.0,[-1.35],0,0
103,2025-02-28,1,1000,0,2836.800048828125,0,1000.0,[-1.35],0,0
104,2025-03-03,1,1000,0,2890.199951171875,0,1000.0,[-1.35],0,0
105,2025-03-04,1,1000,0,2909.60009765625,0,1000.0,[-1.35],0,0
106,2025-03-05,1,1000,0,2915.300048828125,0,1000.0,[-1.35],0,0
107,2025-03-06,1,1000,0,2916.60009765625,0,1000.0,[-1.35],0,0
108,2025-03-07,1,1000,0,2904.699951171875,0,1000.0,[-1.35],0,0
109,2025-03-10,1,1000,0,2891.0,0,1000.0,[-1.35],0,0
110,2025-03-11,1,1000,0,2912.89990234375,0,1000.0,[-1.35],0,0
111,2025-03-12,1,1000,0,2939.10009765625,0,1000.0,[-1.35],0,0
112,2025-03-13,1,1000,0,2984.300048828125,0,1000.0,[-1.35],0,0
113,2025-03-14,1,1000,0,2994.5,0,1000.0,[-1.35],0,0
114,2025-03-17,1,1000,0,3000.0,0,1000.0,[-1.35],0,0
115,2025-03-18,1,1000,0,3035.10009765625,0,1000.0,[-1.35],0,0
116,2025-03-19,1,1000,0,3035.89990234375,0,1000.0,[-1.35],0,0
117,2025-03-20,1,1000,0,3040.0,0,1000.0,[-1.35],0,0
118,2025-03-21,1,1000,0,3018.199951171875,0,1000.0,[-1.35],0,0
119,2025-03-24,1,1000,0,3013.10009765625,0,1000.0,[-1.35],0,0
120,2025-03-25,1,1000,0,3023.699951171875,0,1000.0,[-1.35],0,0
121,2025-03-26,1,1000,0,3020.89990234375,0,1000.0,[-1.35],0,0
