step,date,action,balance,shares_held,price,total_asset,reward,real_shares_bought,real_shares_sold
25,2024-09-24,0,1009.9190854492189,0,226.8706817626953,1009.9190854492189,[-0.2],0,0
26,2024-09-25,0,1009.9190854492189,0,225.8728790283203,1009.9190854492189,[-0.005],0,0
27,2024-09-26,0,1009.9190854492189,0,227.0203552246093,1009.9190854492189,[-0.005],0,0
28,2024-09-27,0,1009.9190854492189,0,227.2897491455078,1009.9190854492189,[-0.005],0,0
29,2024-09-30,0,1009.9190854492189,0,232.4883270263672,1009.9190854492189,[-0.105],0,0
30,2024-10-01,0,1009.9190854492189,0,225.71324157714844,1009.9190854492189,[-0.2],0,0
31,2024-10-02,0,1009.9190854492189,0,226.281982421875,1009.9190854492189,[-0.1],0,0
32,2024-10-03,0,1009.9190854492189,0,225.1744079589844,1009.9190854492189,[-0.105],0,0
33,2024-10-04,0,1009.9190854492189,0,226.30194091796875,1009.9190854492189,[-0.105],0,0
34,2024-10-07,0,1009.9190854492189,0,221.20315551757807,1009.9190854492189,[-0.005],0,0
35,2024-10-08,0,1009.9190854492189,0,225.27420043945312,1009.9190854492189,[-0.105],0,0
36,2024-10-09,0,1009.9190854492189,0,229.03591918945312,1009.9190854492189,[-0.005],0,0
37,2024-10-10,0,1009.9190854492189,0,228.5370178222656,1009.9190854492189,[-0.105],0,0
38,2024-10-11,0,1009.9190854492189,0,227.05029296875,1009.9190854492189,[-0.2],0,0
39,2024-10-14,0,1009.9190854492189,0,230.79205322265625,1009.9190854492189,[-0.105],0,0
40,2024-10-15,0,1009.9190854492189,0,233.33645629882807,1009.9190854492189,[-0.005],0,0
41,2024-10-16,0,1009.9190854492189,0,231.27099609375,1009.9190854492189,[-0.005],0,0
42,2024-10-17,0,1009.9190854492189,0,231.6401824951172,1009.9190854492189,[-0.005],0,0
43,2024-10-18,0,1009.9190854492189,0,234.48391723632807,1009.9190854492189,[-0.005],0,0
44,2024-10-21,0,1009.9190854492189,0,235.960678100586,1009.9190854492189,[-0.2],0,0
45,2024-10-22,0,1009.9190854492189,0,235.342041015625,1009.9190854492189,[-0.1],0,0
46,2024-10-23,0,1009.9190854492189,0,230.25323486328125,1009.9190854492189,[-0.105],0,0
47,2024-10-24,0,1009.9190854492189,0,230.0636749267578,1009.9190854492189,[-0.105],0,0
48,2024-10-25,0,1009.9190854492189,0,230.9018096923828,1009.9190854492189,[-0.1],0,0
49,2024-10-28,0,1009.9190854492189,0,232.887435913086,1009.9190854492189,[-0.2],0,0
50,2024-10-29,0,1009.9190854492189,0,233.15684509277344,1009.9190854492189,[-0.105],0,0
51,2024-10-30,0,1009.9190854492189,0,229.5946807861328,1009.9190854492189,[-0.105],0,0
52,2024-10-31,0,1009.9190854492189,0,225.4138946533203,1009.9190854492189,[-0.2],0,0
53,2024-11-01,0,1009.9190854492189,0,222.42047119140625,1009.9190854492189,[-0.105],0,0
54,2024-11-04,0,1009.9190854492189,0,221.5224456787109,1009.9190854492189,[-0.105],0,0
55,2024-11-05,0,1009.9190854492189,0,222.95928955078125,1009.9190854492189,[-0.105],0,0
56,2024-11-06,0,1009.9190854492189,0,222.2308959960937,1009.9190854492189,[-0.005],0,0
57,2024-11-07,0,1009.9190854492189,0,226.98043823242188,1009.9190854492189,[-0.005],0,0
58,2024-11-08,0,1009.9190854492189,0,226.7107391357422,1009.9190854492189,[-0.005],0,0
59,2024-11-11,0,1009.9190854492189,0,223.9837341308593,1009.9190854492189,[-0.105],0,0
60,2024-11-12,0,1009.9190854492189,0,223.9837341308593,1009.9190854492189,[-0.105],0,0
61,2024-11-13,0,1009.9190854492189,0,224.8727569580078,1009.9190854492189,[-0.005],0,0
62,2024-11-14,0,1009.9190854492189,0,227.9693603515625,1009.9190854492189,[-0.105],0,0
63,2024-11-15,0,1009.9190854492189,0,224.7528839111328,1009.9190854492189,[-0.105],0,0
64,2024-11-18,0,1009.9190854492189,0,227.7695770263672,1009.9190854492189,[-0.105],0,0
65,2024-11-19,0,1009.9190854492189,0,228.0292816162109,1009.9190854492189,[-0.105],0,0
66,2024-11-20,0,1009.9190854492189,0,228.7484893798828,1009.9190854492189,[-0.2],0,0
67,2024-11-21,0,1009.9190854492189,0,228.2690277099609,1009.9190854492189,[-0.005],0,0
68,2024-11-22,0,1009.9190854492189,0,229.61753845214844,1009.9190854492189,[-0.005],0,0
69,2024-11-25,0,1009.9190854492189,0,232.6142425537109,1009.9190854492189,[-0.105],0,0
70,2024-11-26,0,1009.9190854492189,0,234.8018341064453,1009.9190854492189,[-0.105],0,0
71,2024-11-27,0,1009.9190854492189,0,234.67198181152344,1009.9190854492189,[-0.2],0,0
72,2024-11-29,0,1009.9190854492189,0,237.06935119628903,1009.9190854492189,[-0.005],0,0
73,2024-12-02,0,1009.9190854492189,0,239.3268585205078,1009.9190854492189,[-0.1],0,0
74,2024-12-03,0,1009.9190854492189,0,242.3834991455078,1009.9190854492189,[-0.005],0,0
75,2024-12-04,0,1009.9190854492189,0,242.7431030273437,1009.9190854492189,[-0.005],0,0
76,2024-12-05,0,1009.9190854492189,0,242.7730712890625,1009.9190854492189,[-0.005],0,0
77,2024-12-06,0,1009.9190854492189,0,242.5732879638672,1009.9190854492189,[-0.005],0,0
78,2024-12-09,0,1009.9190854492189,0,246.47900390625,1009.9190854492189,[-0.2],0,0
79,2024-12-10,0,1009.9190854492189,0,247.4978790283203,1009.9190854492189,[-0.2],0,0
80,2024-12-11,0,1009.9190854492189,0,246.2192840576172,1009.9190854492189,[-0.105],0,0
81,2024-12-12,0,1009.9190854492189,0,247.68768310546875,1009.9190854492189,[-0.2],0,0
82,2024-12-13,0,1009.9190854492189,0,247.85748291015625,1009.9190854492189,[-0.2],0,0
83,2024-12-16,0,1009.9190854492189,0,250.7642822265625,1009.9190854492189,[-0.2],0,0
84,2024-12-17,0,1009.9190854492189,0,253.2015991210937,1009.9190854492189,[-0.105],0,0
85,2024-12-18,0,1009.9190854492189,0,247.777572631836,1009.9190854492189,[-0.105],0,0
86,2024-12-19,0,1009.9190854492189,0,249.51565551757807,1009.9190854492189,[-0.105],0,0
87,2024-12-20,0,1009.9190854492189,0,254.21051025390625,1009.9190854492189,[-0.2],0,0
88,2024-12-23,0,1009.9190854492189,0,254.9896545410156,1009.9190854492189,[-0.105],0,0
89,2024-12-24,0,1009.9190854492189,0,257.9164428710937,1009.9190854492189,[-0.105],0,0
90,2024-12-26,0,1009.9190854492189,0,258.7355041503906,1009.9190854492189,[-0.105],0,0
91,2024-12-27,0,1009.9190854492189,0,255.30929565429688,1009.9190854492189,[-0.105],0,0
92,2024-12-30,0,1009.9190854492189,0,251.9230194091797,1009.9190854492189,[-0.2],0,0
93,2024-12-31,0,1009.9190854492189,0,250.1449737548828,1009.9190854492189,[-0.2],0,0
94,2025-01-02,0,1009.9190854492189,0,243.5821990966797,1009.9190854492189,[-0.105],0,0
95,2025-01-03,0,1009.9190854492189,0,243.0927276611328,1009.9190854492189,[-0.105],0,0
96,2025-01-06,0,1009.9190854492189,0,244.73092651367188,1009.9190854492189,[-0.2],0,0
97,2025-01-07,0,1009.9190854492189,0,241.94400024414065,1009.9190854492189,[-0.105],0,0
98,2025-01-08,0,1009.9190854492189,0,242.4334411621093,1009.9190854492189,[-0.2],0,0
99,2025-01-10,0,1009.9190854492189,0,236.58987426757807,1009.9190854492189,[-0.105],0,0
100,2025-01-13,0,1009.9190854492189,0,234.1425628662109,1009.9190854492189,[-0.105],0,0
101,2025-01-14,0,1009.9190854492189,0,233.02378845214844,1009.9190854492189,[-0.105],0,0
102,2025-01-15,0,1009.9190854492189,0,237.60874938964844,1009.9190854492189,[-0.005],0,0
103,2025-01-16,0,1009.9190854492189,0,228.00930786132807,1009.9190854492189,[-0.005],0,0
104,2025-01-17,0,1009.9190854492189,0,229.7274169921875,1009.9190854492189,[-0.105],0,0
105,2025-01-21,0,1009.9190854492189,0,222.39547729492188,1009.9190854492189,[-0.105],0,0
106,2025-01-22,0,1009.9190854492189,0,223.58416748046875,1009.9190854492189,[-0.105],0,0
107,2025-01-23,0,1009.9190854492189,0,223.41436767578125,1009.9190854492189,[-0.105],0,0
108,2025-01-24,0,1009.9190854492189,0,222.5353240966797,1009.9190854492189,[-0.105],0,0
109,2025-01-27,0,1009.9190854492189,0,229.6075439453125,1009.9190854492189,[-0.105],0,0
110,2025-01-28,0,1009.9190854492189,0,237.99832153320312,1009.9190854492189,[-0.105],0,0
111,2025-01-29,0,1009.9190854492189,0,239.0971221923828,1009.9190854492189,[-0.2],0,0
112,2025-01-30,0,1009.9190854492189,0,237.3290557861328,1009.9190854492189,[-0.105],0,0
113,2025-01-31,0,1009.9190854492189,0,235.7408142089844,1009.9190854492189,[-0.105],0,0
114,2025-02-03,0,1009.9190854492189,0,227.75958251953125,1009.9190854492189,[-0.105],0,0
115,2025-02-04,0,1009.9190854492189,0,232.54432678222656,1009.9190854492189,[-0.105],0,0
116,2025-02-05,0,1009.9190854492189,0,232.2146911621093,1009.9190854492189,[-0.105],0,0
117,2025-02-06,0,1009.9190854492189,0,232.9638671875,1009.9190854492189,[-0.105],0,0
