Ticker,Fecha inicial,Fecha final,Retorno total (%),Retorno medio diario (%),Volatilidad diaria (%),Precio máximo,Precio mínimo,Drawdown máximo (%),Volumen promedio,Volumen máximo,RSI promedio,RSI máximo,RSI mínimo
AAPL,1980-12-15,2025-08-27,246214.9696332632,0.1079357605088565,2.7726436494351026,258.7355041503906,0.0377733558416366,-81.80144592300067,311732098.2580101,7421640800,53.33448203403074,97.86460501131124,2.8982782004116387
AMZN,1997-05-16,2025-08-27,264907.28860491497,0.1696951748488216,3.506166591713806,242.0599975585937,0.0697920024394989,-94.4042177993286,134318064.11159644,2086584000,53.79602884705133,97.3656376730544,7.383314894047828
CL=F,2000-08-24,2025-08-27,102.8137945872906,-0.0147051563492926,4.929198079796152,145.2899932861328,-37.630001068115234,-125.89992622135168,303889.45487941225,2288230,51.697830796787166,96.58793194019567,6.0773242792190985
ETH-USD,2017-11-10,2025-08-27,1404.8782154294108,0.1979899258764771,4.557537386306404,4831.3486328125,84.30829620361328,-93.96254038538314,14084590615.879972,92453553253,52.02828878774773,98.80232575622516,7.996941899982474
GC=F,2000-08-31,2025-08-27,1123.3561792999358,0.0462820665525373,1.091627724194404,3439.199951171875,255.1000061035156,-44.363844125895234,4304.629238643634,386334,53.162622160129246,98.14126281587792,3.032828937277543
MSFT,1986-03-14,2025-08-27,819346.9465872345,0.1130997602115957,2.0969729640299666,535.6400146484375,0.0554424971342086,-69.3862200747168,55723616.626999296,788688000,54.22225647593939,99.1119340970408,1.5386230058774115
NVDA,1999-01-25,2025-08-27,436942.1712302579,0.1978432728859629,3.774516246786668,183.1600036621093,0.0312834903597831,-89.72243054849301,591433032.9838227,9230856000,53.83203875520931,99.42901972537412,2.97877448579186
TSLA,2010-06-30,2025-08-27,21905.87022823721,0.2077640469832106,3.6538601092816663,479.8599853515625,1.053333044052124,-73.63221744219119,96952888.19874148,914082000,53.14441569730505,97.52993259669202,5.139218217411539
