Ticker,Fecha inicial,Fecha final,Retorno total (%),Retorno medio diario (%),Volatilidad diaria (%),Precio máximo,Precio mínimo,Drawdown máximo (%),Volumen promedio,Volumen máximo,RSI promedio,RSI máximo,RSI mínimo
AAPL,1980-12-15,2025-05-06,212039.2776412629,0.1072745866944605,2.77945859364406,258.7355041503906,0.0377733558416366,-81.80144592300067,313526491.9092859,7421640800.0,53.31656086908127,97.86460501131124,2.8982782004116387
MSFT,1986-03-14,2025-05-06,700603.6375023102,0.1123689503205531,2.103487959927734,464.8543395996094,0.0554424971342086,-69.3862200747168,56005526.917672105,788688000.0,54.10223610991908,99.1119340970408,1.5386230058774115
TSLA,2010-06-30,2025-05-06,17232.140720455656,0.204410566222907,3.657246161569152,479.8599853515625,1.053333044052124,-73.63221744219119,96876214.66541757,914082000.0,53.081292012090685,97.52993259669202,5.139218217411539
